GID,SIFRA_KO,BROJ,POVRSINA
"430","316580",401/1,2859.000000000000000
"431","316580","111",64.000000000000000
"432","316580",1175/16,100.000000000000000
"433","316580",359/6,23.000000000000000
"434","316580",136/6,6.000000000000000
"435","316580",134/6,280.000000000000000
"436","316580",352/5,946.000000000000000
"437","316580","354",2914.000000000000000
"438","316580","357",2046.000000000000000
"439","316580",136/3,18.000000000000000
"440","316580",136/4,92.000000000000000
"441","316580","137",2840.000000000000000
"442","316580","121",2970.000000000000000
"443","316580",379/1,2089.000000000000000
"444","316580","374",696.000000000000000
"445","316580","122",1385.000000000000000
"446","316580","118",863.000000000000000
"447","316580","119",632.000000000000000
"448","316580",349/10,34.000000000000000
"449","316580",138/3,150.000000000000000
"450","316580",138/5,233.000000000000000
"451","316580",327/8,68.000000000000000
"452","316580",349/25,184.000000000000000
"453","316580","344",223.000000000000000
"454","316580",349/30,34.000000000000000
"455","316580",330/4,123.000000000000000
"456","316580",330/3,28.000000000000000
"457","316580","339",867.000000000000000
"458","316580",1175/22,1344.000000000000000
"459","316580","343",721.000000000000000
"460","316580","337",170.000000000000000
"461","316580",138/6,173.000000000000000
"462","316580",349/32,31.000000000000000
"463","316580","334",1289.000000000000000
"464","316580",1174/24,12.000000000000000
"465","316580",141/7,102.000000000000000
"466","316580",139/1,243.000000000000000
"467","316580",1174/25,135.000000000000000
"468","316580",349/26,189.000000000000000
"469","316580",349/13,48.000000000000000
"470","316580","340",408.000000000000000
"471","316580",1174/29,105.000000000000000
"472","316580",349/16,336.000000000000000
"473","316580",349/18,542.000000000000000
"474","316580",349/17,377.000000000000000
"475","316580","338",1084.000000000000000
"476","316580","341",232.000000000000000
"477","316580",139/2,502.000000000000000
"478","316580",333/5,126.000000000000000
"479","316580",349/19,587.000000000000000
"480","316580",349/27,366.000000000000000
"481","316580",349/1,1056.000000000000000
"482","316580",349/21,281.000000000000000
"483","316580","345",1040.000000000000000
"484","316580",333/1,594.000000000000000
"485","316580",333/4,300.000000000000000
"486","316580",333/3,46.000000000000000
"487","316580",1175/21,80.000000000000000
"488","316580",349/2,459.000000000000000
"489","316580",1174/27,260.000000000000000
"490","316580",1174/28,101.000000000000000
"491","316580","342",301.000000000000000
"492","316580",350/1,1102.000000000000000
"493","316580",144/7,8.000000000000000
"494","316580",139/3,617.000000000000000
"495","316580","366",141.000000000000000
"496","316580","110",3472.000000000000000
"497","316580","113",5951.000000000000000
"498","316580","405",5492.000000000000000
"499","316580","406",5847.000000000000000
"500","316580","407",2424.000000000000000
"501","316580","410",206.000000000000000
"502","316580","408",358.000000000000000
"503","316580","419",1431.000000000000000
"504","316580","420",816.000000000000000
